,id,name,slug,website,place,functioning,secure,country,mp3,place_name,place_geo,place_geo_x,place_geo_y,geometry,len_mp3,trail_mp3
6471,a3TlPPHa,BBC Radio 2,bbc-radio-2,http://www.bbc.co.uk/radio2,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio2_mf_p,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),56,True
6472,zFCKLI6H,BBC Radio 3,bbc-radio-3,http://www.bbc.co.uk/radio3,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio3_mf_p,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),56,True
6473,CO4JBP8X,BBC Radio 4,bbc-radio-4,http://www.bbc.co.uk/radio4,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio4fm_mf_p,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),58,True
6474,0TCS3XRu,BBC Radio 4 Extra,bbc-radio-4-extra,https://www.bbc.co.uk/radio/player/bbc_radio_four_extra,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio4extra_mf_p,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),61,True
6475,k7kC0WPu,BBC Radio 5 Live,bbc-radio-5-live,http://www.bbc.co.uk/5live,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio5live_mf_p,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),60,True
6476,sPUw6n5C,BBC Radio 6 Music,bbc-radio-6-music,http://www.bbc.co.uk/6music,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_6music_mf_p,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),56,True
6477,FXyhz9Xk,BBC World Service,bbc-world-service,http://www.bbc.co.uk/worldservice/,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://bbcwssc.ic.llnwd.net/stream/bbcwssc_mp1_ws-eieuk,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),55,True
6478,TENKakLG,Behindagroove,behindagroove,http://behindagroove.com,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://s4.myradiostream.com:13380/listen.mp3,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),44,True
6479,KTn99hpc,BFBS UK,bfbs,http://www.bfbs.co.uk/,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://icy-e-05-gos.sharp-stream.com/ssvcbfbs1.mp3,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),50,True
6481,XliKIVYx,BitHang Yoo Radio,bithang-yoo-radio,http://bithang-yoo-radio.com,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://stream.diazol.hu:35160/live.mp3,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),38,True
6482,ghpIR4Jl,Blue-in-Green:RADIO,blue-in-green-radio,http://www.blueingreenradio.com,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://stream.radio.co/s9e1625f13/listen,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),40,True
6484,dOUSwAB3,Capital Extra,capital-extra,http://www.capitalxtra.com/,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://media-ice.musicradio.com/CapitalXTRANationalMP3?.mp3=,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),60,True
6485,EtGQtdHK,Capital FM,capitalfm,http://www.capitalfm.com/london/,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://media-ice.musicradio.com/CapitalMP3?.mp3=,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),48,True
6488,iXK0XPfy,Centreforce 88.3 DAB,centreforce-88-3-dab,http://www.centreforceradio.com,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://centreforce.streamgb.com:8830/128,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),40,True
6489,hnk1kbW8,Chillsky,chillsky,http://chillsky.com,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://hyades.shoutca.st:8043/stream,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),36,True
6490,pYkXESY0,Chriscutt Radio,chriscutt-radio,http://www.chriscuttradio.com,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://rascast.podzone.org:8014/chriscuttradio?1561377860210=,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),61,True
